City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Oussouye,SN,12.485,-16.5469,69.98,72,49,6.15,scattered clouds
237,Klaksvik,FO,62.2266,-6.589,45.52,85,100,16.26,overcast clouds
238,Banda Aceh,ID,5.5577,95.3222,83.7,64,100,2.21,overcast clouds
239,Ust-Tsilma,RU,65.441,52.1498,18.64,97,95,0.85,overcast clouds
240,Puerto Narino,CO,-3.7703,-70.3831,71.94,97,95,2.1,overcast clouds
241,Kirakira,SB,-10.4544,161.9205,83.12,78,86,4.99,overcast clouds
242,Lompoc,US,34.6391,-120.4579,51.01,83,0,0.0,clear sky
243,Kaa-Khem,RU,51.6833,94.7333,-16.33,88,44,0.56,scattered clouds
244,Srandakan,ID,-7.9386,110.2506,79.63,77,100,4.45,overcast clouds
245,Hobyo,SO,5.3505,48.5268,79.25,71,91,16.06,overcast clouds
246,Ilulissat,GL,69.2167,-51.1,23.02,80,75,0.0,broken clouds
247,Dayong,CN,25.0209,118.2898,61.95,75,100,8.7,overcast clouds
248,Sisimiut,GL,66.9395,-53.6735,16.84,88,89,13.8,overcast clouds
249,Kyra,RU,49.5776,111.9753,-2.72,64,100,18.34,overcast clouds
250,Olafsvik,IS,64.8945,-23.7142,43.75,88,100,19.26,overcast clouds
251,Iqaluit,CA,63.7506,-68.5145,-16.87,76,20,13.8,few clouds
252,Sijunjung,ID,-0.6876,100.9537,80.92,73,100,2.01,overcast clouds
253,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,75,6.91,broken clouds
254,Moussoro,TD,13.6408,16.4901,67.17,22,90,8.48,overcast clouds
255,Kununurra,AU,-15.7667,128.7333,96.78,26,68,13.8,broken clouds
256,Grand-Santi,GF,4.25,-54.3833,71.19,99,100,1.86,overcast clouds
257,Arlit,NE,18.7369,7.3853,66.9,25,34,7.81,scattered clouds
258,Mkushi,ZM,-13.6202,29.3939,62.49,93,99,6.8,overcast clouds
259,Imeni Zhelyabova,RU,58.9544,36.5956,11.3,96,72,3.31,broken clouds
260,El Guapinol,HN,13.7667,-87.4667,71.6,73,19,4.94,few clouds
261,Khor,RU,47.8861,134.9464,2.32,82,100,19.26,overcast clouds
262,Andenes,NO,69.3143,16.1194,38.93,75,100,9.22,overcast clouds
263,Barabai,ID,-2.5833,115.3833,90.21,58,33,2.55,scattered clouds
264,Neder Vindinge,DK,55.0321,11.8836,40.03,72,100,11.7,overcast clouds
265,Ouidah,BJ,6.3631,2.0851,80.46,81,62,4.72,broken clouds
266,Daru,PG,-9.0763,143.2092,85.21,66,100,5.61,overcast clouds
267,High Level,CA,58.5169,-117.136,-7.49,77,100,11.5,light snow
268,Abbeville,FR,50.1,1.8333,39.49,92,0,3.44,clear sky
269,Kavali,IN,14.9167,79.9833,74.95,73,47,5.32,scattered clouds
270,Cabo San Lucas,MX,22.8909,-109.9124,69.19,74,23,5.35,few clouds
271,Burgeo,CA,47.6167,-57.6152,26.85,72,28,17.05,scattered clouds
272,Yerbogachen,RU,61.2767,108.0108,-1.71,96,100,10.65,light snow
273,Hervey Bay,AU,-25.2986,152.8535,69.46,88,100,26.8,moderate rain
274,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,100,11.5,overcast clouds
275,Galesong,ID,-5.3166,119.3661,84.22,70,100,5.44,overcast clouds
276,Naica,MX,27.85,-105.4833,60.03,24,1,7.23,clear sky
277,Saint George,US,37.1041,-113.5841,43.39,33,0,3.0,clear sky
278,Sola,VU,-13.8833,167.55,82.98,72,66,9.37,broken clouds
279,Aberystwyth,GB,52.4155,-4.0829,38.71,86,100,6.87,overcast clouds
280,Carnarvon,AU,-24.8667,113.6333,77.07,64,0,12.97,clear sky
281,Caravelas,BR,-17.7125,-39.2481,75.22,81,100,10.22,light rain
282,Mulchen,CL,-37.7167,-72.2333,57.13,74,100,7.52,overcast clouds
283,Leningradskiy,RU,69.3833,178.4167,23.47,81,100,6.8,overcast clouds
284,Changji,CN,44.0167,87.3167,-3.21,71,0,0.0,clear sky
285,Rauma,FI,61.1272,21.5113,32.04,95,99,7.38,overcast clouds
286,Mokokchung,IN,26.3333,94.5333,65.05,59,72,2.13,broken clouds
287,Ixtapa,MX,20.7,-105.2,73.22,77,16,2.51,few clouds
288,Kangaatsiaq,GL,68.3065,-53.4641,22.68,89,100,27.0,light snow
289,Qaanaaq,GL,77.484,-69.3632,-18.09,81,19,6.31,few clouds
290,Banyumas,ID,-7.5142,109.2942,77.43,86,100,1.25,overcast clouds
291,Zehdenick,DE,52.9785,13.3317,39.29,84,100,6.89,overcast clouds
292,Gladstone,AU,-23.85,151.25,71.53,88,100,13.8,light rain
293,Dandong,CN,40.1292,124.3947,15.22,21,0,13.76,clear sky
